originLat,originLong,destLat,destLong
19.1819814,72.869584,19.1818343,72.869669
19.1817374,72.8696938,19.1818343,72.869669
19.1818343,72.869669,19.1819814,72.869584
19.1820616,72.8695062,19.1819814,72.869584
19.3000407,73.1209016,19.300098,73.121096
19.3001134,73.1211614,19.300098,73.121096
19.300098,73.121096,19.3000407,73.1209016
19.3000291,73.1208479,19.3000407,73.1209016
19.1751247,72.9893337,19.1745373,72.9893257
19.1745354,72.9894853,19.1745373,72.9893257
19.1745392,72.9891718,19.1745373,72.9893257
19.1745373,72.9893257,19.1751247,72.9893337
19.1751228,72.9894934,19.1751247,72.9893337
19.1751266,72.9891798,19.1751247,72.9893337
19.3510729,72.8162494,19.3509441,72.8163134
19.3508167,72.8164215,19.3509441,72.8163134
19.3509441,72.8163134,19.3510729,72.8162494
19.351136,72.8161739,19.3510729,72.8162494
18.9764367,72.8441244,18.9764519,72.844192
18.9768902,72.8440867,18.9764519,72.844192
18.9764519,72.844192,18.9764367,72.8441244
18.9758816,72.8442602,18.9764367,72.8441244
18.9764329,72.8440936,18.9764367,72.8441244
19.3791167,72.8990651,19.3792306,72.8989632
19.3792306,72.8989632,19.3793932,72.8988005
19.3794486,72.8988816,19.3793932,72.8988005
19.4955455,72.9214419,19.4957632,72.9214826
19.4958883,72.9214992,19.4957632,72.9214826
19.4957632,72.9214826,19.4955455,72.9214419
19.4954091,72.9214039,19.4955455,72.9214419
19.9269528,72.8932249,19.9273142,72.8935363
19.9266476,72.8943885,19.9273142,72.8935363
19.9275705,72.8932086,19.9273142,72.8935363
19.9273142,72.8935363,19.9269528,72.8932249
19.926514,72.8926831,19.9269528,72.8932249
19.1787227,73.020638,19.1788127,73.0206655
19.1788553,73.0207307,19.1788127,73.0206655
19.1788127,73.0206655,19.1787227,73.020638
19.1786801,73.0205853,19.1787227,73.020638
19.6315891,73.3436909,19.6316391,73.3435388
19.6317025,73.343468,19.6316391,73.3435388
19.6316391,73.3435388,19.6315891,73.3436909
19.6315825,73.3438325,19.6315891,73.3436909
18.9214881,73.3226615,18.9218078,73.3228278
18.9220564,73.3228438,18.9218078,73.3228278
18.9218078,73.3228278,18.9214881,73.3226615
18.9216758,73.3225166,18.9214881,73.3226615
19.2227576,73.116058,19.2225307,73.1160156
19.2224372,73.1159449,19.2225307,73.1160156
19.2225307,73.1160156,19.2227576,73.116058
19.2232737,73.1161711,19.2227576,73.116058
19.5481644,73.1488392,19.5481513,73.1486224
19.5481644,73.1484839,19.5481513,73.1486224
19.5481513,73.1486224,19.5481644,73.1488392
19.5481905,73.1490423,19.5481644,73.1488392
18.9826787,73.1894443,18.9826289,73.1894575
18.9825579,73.1894669,18.9826289,73.1894575
18.9826289,73.1894575,18.9826787,73.1894443
18.9826885,73.189546,18.9826787,73.1894443
18.982847,73.1893998,18.9826787,73.1894443
18.9826454,73.1893542,18.9826787,73.1894443
19.9842507,72.930035,19.9840692,72.9299679
19.9839331,72.9299116,19.9840692,72.9299679
19.9840692,72.9299679,19.9842507,72.930035
19.9842785,72.9300404,19.9842507,72.930035
19.3441191,72.913422,19.3441558,72.9134367
19.3442076,72.9134622,19.3441558,72.9134367
19.3441558,72.9134367,19.3441191,72.913422
19.3440646,72.9135293,19.3441191,72.913422
19.3441507,72.9133187,19.3441191,72.913422
19.7565912,73.0379836,19.7565609,73.0381231
19.7564044,73.0384557,19.7565609,73.0381231
19.7565609,73.0381231,19.7565912,73.0379836
19.7565963,73.0378388,19.7565912,73.0379836
19.1642939,73.0266429,19.1642861,73.0267212
19.1643025,73.026927,19.1642861,73.0267212
19.1642861,73.0267212,19.1642939,73.0266429
19.1643964,73.0266526,19.1642939,73.0266429
19.1643007,73.026548,19.1642939,73.0266429
19.164175,73.0266383,19.1642939,73.0266429
19.2944144,73.3388217,19.2944144,73.3389316
19.2944005,73.3390403,19.2944144,73.3389316
19.2944144,73.3389316,19.2944144,73.3388217
19.2944132,73.3386648,19.2944144,73.3388217
19.0842682,73.0296821,19.0853285,73.0296943
19.0853725,73.0291038,19.0853285,73.0296943
19.0862116,73.0297235,19.0853285,73.0296943
19.0853285,73.0296943,19.0842682,73.0296821
19.0833252,73.0296578,19.0842682,73.0296821
19.0843142,73.0278229,19.0842682,73.0296821
19.2999293,72.8695303,19.2999065,72.8693452
19.2999825,72.8691387,19.2999065,72.8693452
19.2999065,72.8693452,19.2999293,72.8695303
19.3000154,72.8696832,19.2999293,72.8695303
19.0647088,72.9189163,19.0648702,72.9184943
19.0649843,72.9182583,19.0648702,72.9184943
19.0654124,72.9187478,19.0648702,72.9184943
19.0648702,72.9184943,19.0647088,72.9189163
19.0652355,72.9191901,19.0647088,72.9189163
